,title,year,journal
2768,A Choice Model for the Selection of Computer Vendors and Its Empirical Estimation,2001,Journal of Management Information Systems
2771,The Effect of Social Capital of the Relationship Between the CIO and Top Management Team on Firm Performance,2013,Journal of Management Information Systems
2784,The Impact of ERP Implementation on Business Process Outcomes: A Factor-Based Study,2007,Journal of Management Information Systems
2785,The Role of Information Systems Resources in ERP Capability Building and Business Process Outcomes,2007,Journal of Management Information Systems
2786,Impact of Information Technology Management Practices on Customer Service,2001,Journal of Management Information Systems
2789,Toward a New Meta-Theory for Designing Information Systems (IS) Security Training Approaches,2011,Journal of the Association for Information Systems
2794,Computer Self-Efficacy,2012,Journal of Organizational and End User Computing
2795,Protecting Privacy When Sharing and Releasing Data with Multiple Records per Person,2020,Journal of the Association for Information Systems
2803,Modelling corporate wireless security and privacy,2005,The Journal of Strategic Information Systems
2805,Interdisciplinary Perspectives/Part I - Economic Perspectives (Editorial Introduction),2005,Journal of the Association for Information Systems
2806,Interdisciplinary Perspectives -Part II - Sociological Perspectives (Editorial Introduction),2006,Journal of the Association for Information Systems
2807,Information Technology and Pricing - Introduction to the Special Section,2010,Journal of the Association for Information Systems
2808,"Special Section - Information Systems in Competitive Strategies - Offshoring, Risk Management, Strategic Pricing, E-Sourcing, and Standards",2005,Journal of Management Information Systems
2809,A Multi-Level Theory Approach to Understanding Price Rigidity in Internet Retailing,2010,Journal of the Association for Information Systems
2810,Proprietary and Open Systems Adoption in E-Procurement - A Risk-Augmented Transaction Cost Perspective,2004,Journal of Management Information Systems
2811,Risk Management of Contract Portfolios in IT Services - The Profit-at-Risk Approach,2008,Journal of Management Information Systems
2812,"The Unified Procurement Strategy for Enterprise Software - A Test of the ""Move to the Middle"" Hypothesis",2009,Journal of Management Information Systems
2813,Economics and Electronic Commerce: Survey and Directions for Research,2001,International Journal of Electronic Commerce
2814,New Buyers' Arrival Under Dynamic Pricing Market Microstructure - The Case of Group-Buying Discounts on the Internet,2001,Journal of Management Information Systems
2815,"Special Section: Information Systems, Electronic Commerce, and Economics-- The Interdisciplinary Research Frontier",2003,Journal of Management Information Systems
2816,Special Section - Information and Competitive Strategy in a Networked Economy,2012,Journal of Management Information Systems
2823,Leadership Effectiveness in Global Virtual Teams,2002,Journal of Management Information Systems
2826,Inducing Intrinsic Motivation to Explore the Enterprise System: The Supremacy of Organizational Levers,2012,Journal of Management Information Systems
2827,The Effects of Extrinsic Motivations and Satisfaction in Open Source Software Development,2010,Journal of the Association for Information Systems
2828,"Strategic Alignment Between Business and Information Technology: A Knowledge-Based View of Behaviors, Outcome, and Consequences",2006,Journal of Management Information Systems
2833,The Dynamics of IT Project Status Reporting - A Self-Reinforcing Cycle of Distrust,2014,Journal of the Association for Information Systems
2837,Service-Oriented Methodology for Systems Development,2013,Journal of Management Information Systems
2838,A behavioral analysis of passphrase design and effectiveness,2009,Journal of the Association for Information Systems
2839,The Clinical Impact of eHealth on the Self-Management of Diabetes - A Double Adoption Perspective,2011,Journal of the Association for Information Systems
2842,The Doing of Datafication (And What this Doing Does) - Practices of Edification and the Enactment of New Forms of Sociality in the Indian Public Health Service,2017,Journal of the Association for Information Systems
2849,Receptivity of Singapore's SMEs to electronic commerce adoption,2001,The Journal of Strategic Information Systems
2853,"Exploring ASP as sourcing strategy: theoretical perspectives, propositions for practice",2002,The Journal of Strategic Information Systems
2857,Special Issue Editorial - Addressing Societal Challenges through Analytics - An ESG ICE Framework and Research Agenda,2020,Journal of the Association for Information Systems
2866,The State of Research on Information Systems Satisfaction,2004,Journal of Information Technology Theory and Application
2873,Examining Real Options Exercise Decisions in Information Technology Investments,2017,Journal of the Association for Information Systems
2874,An empirical study of misalignment between Australian CEOs and IT managers,2001,The Journal of Strategic Information Systems
2875,Understanding the Role of IS and Application Domain Knowledge on Conceptual Schema Problem Solving - A Verbal Protocol Study,2016,Journal of the Association for Information Systems
2877,Assurance Services for Business-to- Business Electronic Commerce - A Framework and Implications,2000,Journal of the Association for Information Systems
2880,Optimal Pricing of Digital Experience Goods Under Piracy,2007,Journal of Management Information Systems
2881,Evaluating the Adoption of Enterprise Application Integration in Health-Care Organizations,2006,Journal of Management Information Systems
2882,How Foreign and Domestic Firms Differ in Leveraging IT-Enabled Supply Chain Information Integration in BOP Markets - The Role of Supplier and Client Business Collaboration,2021,Journal of the Association for Information Systems
